vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_id,trip_schedule_relationship,trip_route_id,trip_start_date
1078,705,2,19.47470093,-99.08850098,"19.4747009277,-99.0885009766",0,430,9741423,0,61,20200428
1079,706,1,19.4769001,-99.07250214,"19.4769001007,-99.0725021362",7,0,9741575,0,61,20200428
1084,711,2,19.49810028,-99.1678009,"19.4981002808,-99.1678009033",13,217,9740759,0,61,20200428
1085,712,2,19.49530029,-99.15480042,"19.495300293,-99.154800415",11,169,9740927,0,61,20200428
1089,716,2,19.49749947,-99.16459656,"19.4974994659,-99.1645965576",0,487,9740871,0,61,20200428
1091,718,2,19.49189949,-99.13860321,"19.4918994904,-99.1386032104",8,0,9740043,0,61,20200428
1100,727,2,19.50230026,-99.1785965,"19.5023002625,-99.1785964966",8,0,9740267,0,61,20200428
1101,728,2,19.51040077,-99.19860077,"19.5104007721,-99.198600769",13,0,9740419,0,61,20200428
1110,757,1,19.5114994,-99.19760132,"19.5114994049,-99.1976013184",6,0,9740359,0,61,20200428
1112,759,2,19.49620056,-99.15940094,"19.4962005615,-99.1594009399",1,0,9740199,0,61,20200428
1115,762,2,19.47579956,-99.08989716,"19.4757995605,-99.0898971558",10,324,9739719,0,61,20200428
1117,764,2,19.49489975,-99.15339661,"19.4948997498,-99.1533966064",8,563,9740103,0,61,20200428
1120,767,2,19.49069977,-99.13310242,"19.4906997681,-99.133102417",1,0,9741043,0,61,20200428
1122,769,2,19.46910095,-99.06410217,"19.4691009521,-99.0641021729",8,308,9741259,0,61,20200428
1126,773,2,19.48380089,-99.11190033,"19.4838008881,-99.1119003296",6,0,9739879,0,61,20200428
1130,782,2,19.46730042,-99.08070374,"19.467300415,-99.0807037354",6,0,9739615,0,61,20200428
1132,784,2,19.4734993,-99.07029724,"19.4734992981,-99.0702972412",10,263,9739559,0,61,20200428
1135,787,2,0,-103.4889984,"0.0,-103.488998413",0,0,9739295,0,61,20200428
1141,793,2,19.51110077,-99.1984024,"19.511100769,-99.1984024048",6,137,9740595,0,61,20200428
1144,796,2,19.46949959,-99.06469727,"19.469499588,-99.0646972656",4,0,9739455,0,61,20200428
1146,798,2,19.48380089,-99.11779785,"19.4838008881,-99.1177978516",11,318,9739935,0,61,20200428
1147,461,1,19.44059944,-99.14859772,"19.4405994415,-99.1485977173",7,0,9684137,0,1,20200428
1148,462,2,19.51729965,-99.16269684,"19.5172996521,-99.1626968384",13,295,9684625,0,1,20200428
1149,463,2,19.50629997,-99.15840149,"19.5062999725,-99.1584014893",13,253,9684521,0,1,20200428
1151,465,2,19.46579933,-99.14299774,"19.4657993317,-99.1429977417",10,300,9685323,0,1,20200428
1152,466,2,19.43110085,-99.14810181,"19.4311008453,-99.1481018066",6,0,9683969,0,1,20200428
1159,1050,2,19.48990059,-99.12169647,"19.489900589,-99.1216964722",16,1176,9734093,0,367,20200428
1160,1101,1,19.49889946,-99.11940002,"19.4988994598,-99.1194000244",0,96,,2,,
1164,1105,2,19.41609955,-99.16529846,"19.4160995483,-99.1652984619",5,0,,2,367,
1165,1106,1,19.41990089,-99.16410065,"19.4199008942,-99.164100647",3,0,9730577,0,367,20200428
1167,1108,2,19.4708004,-99.13749695,"19.4708003998,-99.1374969482",16,839,9733962,0,367,20200428
1174,1093,2,19.41939926,-99.16429901,"19.4193992615,-99.1642990112",2,310,9731219,0,367,20200428
1177,1096,2,19.29870033,-99.1855011,"19.2987003326,-99.1855010986",7,0,,2,367,
1179,623,2,19.4598999,-99.10579681,"19.4598999023,-99.105796814",4,465,9678878,0,161,20200428
1180,731,1,19.48789978,-99.11460114,"19.4878997803,-99.1146011353",6,0,9741199,0,61,20200428
1181,732,2,19.48880005,-99.12830353,"19.4888000488,-99.1283035278",5,0,9741103,0,61,20200428
1184,735,2,19.46929932,-99.08529663,"19.4692993164,-99.0852966309",12,503,,2,61,
1185,736,2,19.50699997,-99.19950104,"19.5069999695,-99.1995010376",0,161,,2,,
1186,2304,2,19.39109993,-99.04759979,"19.3910999298,-99.0475997925",0,0,9737862,0,301,20200428
1188,2306,2,19.40559959,-99.1855011,"19.4055995941,-99.1855010986",11,437,9736315,0,301,20200428
1190,2308,1,19.48220062,-99.10559845,"19.4822006226,-99.1055984497",0,0,9741359,0,61,20200428
1191,2309,2,19.48010063,-99.10089874,"19.4801006317,-99.1008987427",8,0,9739779,0,61,20200428
1192,2310,2,19.38979912,-99.05889893,"19.389799118,-99.0588989258",0,1790,,2,,
1214,2313,2,19.40449905,-99.17420197,"19.404499054,-99.1742019653",8,0,9736599,0,301,20200428
1216,2315,2,19.38909912,-99.04949951,"19.3890991211,-99.0494995117",9,183,9737719,0,301,20200428
1217,2316,2,19.38430023,-99.0759964,"19.3843002319,-99.0759963989",6,478,9737443,0,301,20200428
1218,2317,2,19.39360046,-99.13200378,"19.3936004639,-99.1320037842",9,507,9737108,0,301,20200428
1220,1115,2,19.44120026,-99.1548996,"19.4412002563,-99.1548995972",4,0,,2,,
1225,2341,2,19.39769936,-99.1088028,"19.3976993561,-99.1088027954",6,0,9735764,0,301,20200428
1226,2342,2,19.38929939,-99.05919647,"19.3892993927,-99.0591964722",0,1845,,2,,
1227,2343,2,19.39579964,-99.09320068,"19.3957996368,-99.0932006836",13,331,9737294,0,301,20200428
1230,2361,2,19.39780045,-99.12930298,"19.3978004456,-99.1293029785",0,0,9735848,0,301,20200428
1232,2363,2,19.39389992,-99.13749695,"19.3938999176,-99.1374969482",14,0,9735896,0,301,20200428
1233,2364,1,19.39389992,-99.09049988,"19.3938999176,-99.0904998779",6,0,9738271,0,301,20200428
1234,2365,2,19.38979912,-99.05950165,"19.389799118,-99.0595016479",0,997,9737659,0,301,20200428
1235,2366,2,19.39509964,-99.14579773,"19.3950996399,-99.1457977295",0,276,9736965,0,301,20200428
1236,2312,2,19.4041996,-99.1733017,"19.4041996002,-99.1733016968",10,0,9736177,0,301,20200428
1237,2346,2,19.39609909,-99.15910339,"19.3960990906,-99.1591033936",11,415,9736821,0,301,20200428
1238,2347,2,19.4034996,-99.16989899,"19.4034996033,-99.1698989868",7,0,9736129,0,301,20200428
1241,2376,1,19.39579964,-99.15499878,"19.3957996368,-99.1549987793",3,0,9735980,0,301,20200428
1248,1121,1,19.44709969,-99.15309906,"19.4470996857,-99.1530990601",0,0,9733596,0,367,20200428
1253,1000,2,19.39590073,-99.15660095,"19.3959007263,-99.1566009521",1,759,9736034,0,301,20200428
1254,1065,2,19.27910042,-99.16919708,"19.2791004181,-99.1691970825",0,428,,2,,
1255,1066,2,19.3526001,-99.18579865,"19.3526000977,-99.185798645",0,192,9729763,0,367,20200428
1256,1067,2,19.49900055,-99.11959839,"19.4990005493,-99.1195983887",0,0,,2,,
1257,1068,1,19.28300095,-99.17510223,"19.283000946,-99.1751022339",10,0,9732416,0,367,20200428
1259,1070,2,19.49909973,-99.11959839,"19.4990997314,-99.1195983887",0,0,,2,,
1284,1256,2,19.44129944,-99.1548996,"19.4412994385,-99.1548995972",2,257,,2,367,
1286,219,2,19.45009995,-99.11009979,"19.4500999451,-99.1100997925",5,0,9678929,0,161,20200428
1287,220,2,19.4510994,-99.10970306,"19.4510993958,-99.109703064",10,306,9679184,0,161,20200428
1288,221,2,19.39080048,-99.04730225,"19.3908004761,-99.0473022461",0,46,,2,,
1289,222,2,19.39100075,-99.04769897,"19.3910007477,-99.0476989746",0,94,,2,,
1302,235,1,19.38920021,-99.05979919,"19.3892002106,-99.0597991943",4,0,9738091,0,301,20200428
10000,620,2,19.4321003,-99.11509705,"19.432100296,-99.1150970459",7,85,9679007,0,161,20200428
10002,2358,2,19.39730072,-99.104599,"19.3973007202,-99.104598999",7,0,9737246,0,301,20200428
10007,2338,2,19.3864994,-99.07949829,"19.3864994049,-99.079498291",6,0,9738223,0,301,20200428
10015,2303,2,19.39529991,-99.14800262,"19.3952999115,-99.1480026245",0,510,9736875,0,301,20200428
10016,1036,2,19.30139923,-99.18579865,"19.301399231,-99.185798645",12,233,9732076,0,367,20200428
10019,1039,2,19.41959953,-99.16419983,"19.4195995331,-99.1641998291",3,0,9730466,0,367,20200428
10023,1043,2,19.41629982,-99.16519928,"19.4162998199,-99.1651992798",1,0,9730336,0,367,20200428
